ParGroup,HostGroup,DobsonPPH,DobsonHPP
Trematodes,Chondrichthyes,0.12,2
Trematodes,Osteichthyes,2.04,6.35
Trematodes,Amphibia,1.27,5.4
Trematodes,Reptilia,1.06,1.77
Trematodes,Aves,3.24,2.97
Trematodes,Mammalia,1.61,2.01
Cestodes,Chondrichthyes,2.71,1.69
Cestodes,Osteichthyes,1.57,6.38
Cestodes,Amphibia,0.27,4.75
Cestodes,Reptilia,0.39,2.21
Cestodes,Aves,3.67,2.36
Cestodes,Mammalia,1.89,1.89
Acanthocephalans,Chondrichthyes,,
Acanthocephalans,Osteichthyes,1.01,14.95
Acanthocephalans,Amphibia,0.19,6.74
Acanthocephalans,Reptilia,0.42,12.5
Acanthocephalans,Aves,0.72,8.35
Acanthocephalans,Mammalia,0.28,4.32
Nematodes,Chondrichthyes,0.48,2.67
Nematodes,Osteichthyes,1.49,10.28
Nematodes,Amphibia,2.82,5.27
Nematodes,Reptilia,2.15,2.12
Nematodes,Aves,3.32,3.28
Nematodes,Mammalia,3.9,6.07
