,Host,Parasite,ParasiteFull,group,hostgroup
1,Arnoglossus laterna,Acanthocephaloides geneticus,"Acanthocephaloides geneticus (Buron et al., 1985)",Acanthocephalans,Teleostei
2,Salaria pavo,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,NA
3,Crenilabrus griseus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,NA
4,Symphodus ocellatus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
5,Symphodus tinca,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
6,Gaidropsaurus mediterraneus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,NA
7,Gobius cobitis,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
8,Mesogobius batrachocephalus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
9,Neogobius fluviatilis,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
10,Neogobius melanostomus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
11,Platichthys flesus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
12,Proterorhinus marmoratus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
13,Scorpaena porcus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
14,Scorpaena scrofa,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
15,Squalus blainville,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,NA
16,Syngnathus typhle,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
17,Trachurus mediterraneus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
18,Zosterisessor ophiocephalus,Acanthocephaloides incrassatus,"Acanthocephaloides incrassatus (Molin, 1858)",Acanthocephalans,Teleostei
19,Pegusa lascaris,Acanthocephaloides kostylewi,"Acanthocephaloides kostylewi Meyer, 1932",Acanthocephalans,NA
20,Solea solea,Acanthocephaloides kostylewi,"Acanthocephaloides kostylewi Meyer, 1932",Acanthocephalans,Teleostei
21,Anguilla anguilla,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
22,Caprella acutifrons,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,NA
23,Conger conger,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
24,Dentex dentex,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
25,Dicologlossa cuneata,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,NA
26,Eutrigla gurnardus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
27,Gobius aphya,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,NA
28,Gobius bucchichi,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
29,Gobius cobitis,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
30,Gobius cruentatus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
31,Gobius niger,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
32,Zosterisessor ophiocephalus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
33,Gobius paganellus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
34,Lesueurigobius friesii,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
35,Merluccius merluccius,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
36,Mesogobius batrachocephalus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
37,Mustelus mustelus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Chondrichthyes
38,Neogobius melanostomus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
39,Neogobius fluviatilis,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
40,Neogobius melanostomus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
41,Neogobius niger,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,NA
42,Neogobius ratan,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
43,Neogobius syrman,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
44,Citharus linguatula,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
45,Proterorhynus marmoratus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,NA
46,Sciaena umbra,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
47,Scorpaena scrofa,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
48,Pegusa lascaris,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,NA
49,Solea solea,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
50,Uranoscopus scaber,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
51,Zosterisessor ophiocephalus,Acanthocephaloides propinquus,"Acanthocephaloides propinquus (Dujardin, 1845)",Acanthocephalans,Teleostei
52,Capoeta capoeta,Acanthocephalorhynchoides cholodkowskyi,"Acanthocephalorhynchoides cholodkowskyi (Kostylew, 1928)",Acanthocephalans,Teleostei
53,Schizopyge curvifrons,Acanthocephalorhynchoides cholodkowskyi,"Acanthocephalorhynchoides cholodkowskyi (Kostylew, 1928)",Acanthocephalans,NA
54,Varicorhinus sevangi,Acanthocephalorhynchoides cholodkowskyi,"Acanthocephalorhynchoides cholodkowskyi (Kostylew, 1928)",Acanthocephalans,NA
55,Notophthalmus viridescens,Acanthocephalus aculeatus,"Acanthocephalus aculeatus Van Cleave, 1931",Acanthocephalans,Amphibia
56,Oncorhynchus keta,Acanthocephalus aculeatus,"Acanthocephalus aculeatus Van Cleave, 1931",Acanthocephalans,Teleostei
57,Oncorhynchus masu,Acanthocephalus aculeatus,"Acanthocephalus aculeatus Van Cleave, 1931",Acanthocephalans,NA
58,Oncorhynchus nerka,Acanthocephalus aculeatus,"Acanthocephalus aculeatus Van Cleave, 1931",Acanthocephalans,Teleostei
59,Parahucho perryi,Acanthocephalus aculeatus,"Acanthocephalus aculeatus Van Cleave, 1931",Acanthocephalans,Teleostei
60,Salvelinus malma,Acanthocephalus aculeatus,"Acanthocephalus aculeatus Van Cleave, 1931",Acanthocephalans,Teleostei
61,Abramis ballerus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
62,Blicca bjoerkna,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
63,Abramis brama,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
64,Abramis sapa,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
65,Gymnocephalus cernuus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
66,Acerina schraetser,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
67,Acipenser gueldenstaedtii,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
68,Acipenser ruthenus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Chondrostei
69,Alburnoides bipunctatus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
70,Alburnus alburnus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
71,Anguilla anguilla,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
72,Asellus aquaticus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Malacostraca
73,Barbatula barbatulus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
74,Barbus barbus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
75,Barbus barbus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
76,Barbus petenyi,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
77,Barbus tybernus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,NA
78,Blicca bjoerkna,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
79,Carassius auratus,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
80,Carassius carassius,Acanthocephalus anguillae,"Acanthocephalus anguillae (Muller, 1780)",Acanthocephalans,Teleostei
