"","Host","Parasite","ParasiteFull","group","locality","hostgroup"
"2","Squalus blainville","Acanthocephaloides incrassatus","Acanthocephaloides incrassatus (Molin, 1858)","Acanthocephala","Adriatic Sea","Chondrichthyes"
"3","Gobius bucchichi","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"4","Gobius cruentatus","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"5","Gobius niger","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"6","Lesueurigobius friesii","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Teleostei"
"7","Mustelus mustelus","Acanthocephaloides propinquus","Acanthocephaloides propinquus (Dujardin, 1845)","Acanthocephala","Adriatic Sea","Chondrichthyes"
"8","Liza aurata","Acanthogyrus lizae","Acanthogyrus (Acanthosentis) lizae Orecchia, Paggi & Radujkovic, 1988","Acanthocephala","Adriatic Sea","Teleostei"
"9","Chelon labrosus","Neoechinorhynchus agilis","Neoechinorhynchus agilis (Rudolphi, 1819)","Acanthocephala","Adriatic Sea","Teleostei"
"10","Liza aurata","Neoechinorhynchus agilis","Neoechinorhynchus agilis (Rudolphi, 1819)","Acanthocephala","Adriatic Sea","Teleostei"
"11","Liza ramado","Neoechinorhynchus agilis","Neoechinorhynchus agilis (Rudolphi, 1819)","Acanthocephala","Adriatic Sea",NA
"12","Brama raii","Rhadinorhynchus pristis","Rhadinorhynchus pristis (Rudolphi, 1802)","Acanthocephala","Adriatic Sea",NA
"13","Atherina boyeri","Telosentis exiguus","Telosentis exiguus (von Linstow, 1901)","Acanthocephala","Adriatic Sea","Teleostei"
"17","Labeo cylindricus","Acanthogyrus malawiensis","Acanthogyrus (Acanthosentis) malawiensis Amin & Hendrix, 1999","Acanthocephala","African freshwater lakes","Teleostei"
"18","Aristochromis christyi","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"19","Bagrus meridionalis","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes","Teleostei"
"20","Copidochromis thinos","Acanthogyrus tilapiae","Acanthogyrus (Acanthosentis) tilapiae (Baylis, 1948)","Acanthocephala","African freshwater lakes",NA
