"","Num. of hosts sampled","Amalaraeus penicilliger","Amphalius runatus","Amphipsylla sibirica","Catallagia dacenkoi","Catallagia ioffi","Corrodopsylla birulai","Megabothris calcarifer","Megabothris rectangulatus","Peromyscopsylla bidentata","Rhadinopsylla integella"
"Arvicola terrestris",149,0,0,10,0,0,2,0,11,0,0
"Clethrionomys rufocanus",43,2,2,16,9,6,13,0,13,15,0
"Clethrionomys rutilus",133,114,0,99,0,3,28,10,51,12,0
"Lemmus sibiricus",27,78,0,0,0,0,11,0,0,0,0
"Microtus middendorffi",35,0,0,10,0,0,0,0,0,0,0
"Microtus oeconomus",703,2,0,69,15,0,110,18,174,251,0
"Neomys fodiens",11,0,0,2,0,0,107,0,2,0,0
"Sorex arcticus",317,0,3,35,2,0,412,0,23,25,2
"Sorex caecutiens",228,0,0,18,2,0,212,0,6,2,2
"Sorex minutus",8,0,0,0,0,0,2,0,0,0,0
"Sorex roboratus",47,0,0,10,2,0,170,0,2,0,2
