"","Num. of hosts sampled","Amalaraeus penicilliger","Amphipsylla sibirica","Catallagia dacenkoi","Catallagia ioffi","Ceratophyllus indages","Corrodopsylla birulai","Ctenophthalmus assimilis","Ctenophthalmus pisticus","Ctenophthalmus uncinatus","Doratopsylla dasycnema","Frontopsylla elata","Hystrichopsylla talpae","Leptopsylla segnis","Megabothris calcarifer","Megabothris rectangulatus","Megabothris turbidus","Megabothris walkeri","Neopsylla acanthina","Neopsylla mana","Neopsylla pleskei","Nosopsyllus fasciatus","Palaeopsylla soricis","Peromyscopsylla silvatica","Rhadinopsylla integella","Rhadinopsylla li","Tarsopsylla octodecimdentata"
"Apodemus agrarius",170,0,0,0,0,0,5,7,0,14,3,7,15,3,0,8,0,0,3,0,8,10,15,10,0,7,0
"Apodemus peninsulae",58,0,0,0,0,0,3,0,0,3,0,0,2,2,0,7,0,0,0,0,2,0,9,2,0,7,0
"Apodemus uralensis",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,7,0
"Arvicola terrestris",36,5,0,0,0,0,0,0,0,5,0,2,2,0,0,13,0,2,0,0,0,0,0,5,0,7,0
"Clethrionomys glareolus",672,87,4,0,0,0,40,5,0,80,114,4,33,0,2,94,2,3,2,0,3,0,33,262,0,7,0
"Clethrionomys rufocanus",59,12,0,0,0,2,0,0,0,10,4,0,4,0,0,9,0,0,0,0,0,0,3,124,0,7,0
"Clethrionomys rutilus",504,91,0,4,3,0,40,3,0,55,20,0,55,2,0,176,0,0,0,0,0,0,15,574,2,7,0
"Cricetus cricetus",29,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Micromys minutus",90,0,0,0,0,0,25,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,7,0,0,7,0
"Microtus agrestis",168,13,2,0,0,0,17,2,0,23,50,2,30,0,0,60,2,8,0,0,0,0,8,124,0,7,0
"Microtus arvalis",159,23,2,2,0,0,10,2,0,51,8,0,46,0,0,87,0,10,5,0,0,0,33,110,0,7,0
"Microtus oeconomus",255,19,3,0,0,0,3,0,0,18,0,0,13,0,2,38,0,3,0,0,0,0,11,18,0,7,0
"Myopus schisticolor",3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,7,0
"Neomys fodiens",24,0,0,0,0,0,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,7,0
"Sciurus vulgaris",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20
"Sicista betulina",29,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,7,0
"Sorex araneus",863,17,2,0,0,2,285,0,0,26,319,0,43,0,0,43,0,0,0,0,0,0,190,104,0,7,0
"Sorex arcticus",59,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,14,0,0,7,0
"Sorex caecutiens",376,7,0,2,0,0,79,0,0,15,56,0,15,0,0,22,0,0,0,0,0,0,71,26,0,7,0
"Sorex daphaenodon",9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Sorex isodon",62,2,0,0,0,0,0,0,0,0,14,0,3,0,0,3,0,0,0,0,0,0,57,2,0,7,0
"Sorex minutissimus",8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,7,0
"Sorex minutus",145,0,0,0,0,0,15,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,7,0
"Sorex roboratus",28,0,0,0,0,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0
"Talpa altaica",10,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Talpa europaea",3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Tamias sibiricus",26,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0
