"","Acrolophitus variegatus","Ageneotettix deorum","Arphia aberrans","Arphia crassa","Aulocara femoratum","Cibolacris parviceps","Eritettix variabilis","Hadrotettix trifasciatus","Heliaula rufa","Hesperotettix viridis","Leprus cyaneus","Melanoplus arizonae","Melanoplus desultorius","Melanoplus gladstoni","Mermiria bivittata","Opeia obscura","Parapomala wyomingensis","Pedioscirtetes maculipennis","Phoetaliotes nebrascensis","Psoloessa texana","Syrbula fuscovittata","Trachyrachys aspera","Trimerotropis pallidipennis","Xanthippus corallipes"
"Acacia constricta",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allionia incarnata",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"Argythamnia neomexicana",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Aristida writgii",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asclepius sp1 A_PH_005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bouteloua curtipendula",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bouteloua gracilis",0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1
"Bouteloua hirsuta",0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
"Buchloe dactyloides",0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
"Buddleja scordioides",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Calyophus hartwegii",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassia roemeriana",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Castilleja sp1 A_PH_005",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Choenopodium sp1 A_PH_005",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus equitans",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Croton pottsii",1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
"Cryptantha mexicana",0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"Dalea greggii",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dyssodia acerosa",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eragrostis intermedia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"Gaillardia pinnatifida",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gilia rigidula",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
