"","Amphiprion akallopisos","Amphiprion akindynos","Amphiprion allardi","Amphiprion bicinctus","Amphiprion chrysogaster","Amphiprion chrysopterus","Amphiprion clarkii","Amphiprion ephippium","Amphiprion frenatus","Amphiprion fuscocaudatus","Amphiprion latezonatus","Amphiprion latifasciatus","Amphiprion leucokranos","Amphiprion mccullochi","Amphiprion melanopus","Amphiprion nigripes","Amphiprion ocellaris","Amphiprion omanensis","Amphiprion percula","Amphiprion perideraion","Amphiprion polymnus","Amphiprion rubrocinctus","Amphiprion sandaracinos","Amphiprion sebae","Amphiprion tricinctus","Premnas biaculeatus"
"Cryptodendrum adhaesivum",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entacmaea quadricolor",0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
"Heteractis aurora",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Heteractis crispa",0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0
"Heteractis magnifica",1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
"Heteractis malu",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macrodactyla doreensis",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Stichodactyla gigantea",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
"Stichodactyla haddoni",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"Stichodactyla mertensii",1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
