"","Cecropia sp1 M_PA_001","Clidemia heterophylla","Cordia nodosa","Maieta guianensis","Pleurothyrium sp1 M_PA_001","Tococa sp1 M_PA_001","Triplaris americana","Triplaris poeppigiana"
"Allomerus demararae",0,0,35,0,0,0,0,0
"Azteca sp10 M_PA_001",0,0,0,0,0,1,0,0
"Azteca sp11 M_PA_001",0,0,0,0,0,0,0,2
"Azteca sp12 M_PA_001",0,0,0,0,4,0,0,0
"Azteca sp13 M_PA_001",0,0,1,0,0,0,0,0
"Azteca sp7 M_PA_001",0,0,4,0,0,2,0,0
"Azteca sp8 M_PA_001",0,0,0,0,0,0,0,12
"Azteca sp9 M_PA_001",0,0,0,0,0,5,0,0
"Camponotus balzani",5,0,0,0,0,0,0,0
"Crematogaster limata",0,0,2,0,0,0,0,0
"Crematogaster victima",0,7,0,6,0,0,0,0
"Gnamptogenys pleurodon",0,0,1,0,0,0,0,0
"Myrmelachista sp1 M_PA_001",0,0,0,0,10,0,0,0
"Pachychondyla luteola",19,0,0,0,0,0,0,0
"Pheidole minutula",0,8,0,5,0,0,0,0
"Pseudomyrmex dendroicus",0,0,0,0,0,0,30,0
