"","Abundance","Adenia heterophylla","Aleurites rockinghamensis","Archontophoenix alexandrae","Archontophoenix alexandrae","Ardisia pachyrrhachis","Cardwellia sublimis","Castanospermum australe","Clerodendrum tracyanum","Crotalaria sp1 M_PA_004","Cryptocarya hypospodia","Cryptocarya murrayi","Dysoxylum mollissimum subsp. molle","Dysoxylum papuanum","Dysoxylum pettigrewianum","Elaeocarpus angustifolius","Embelia caulialata","Endospermum myrmecophilum","Entada phaseoloides","Euodia sp1 M_PA_004","Ficus septica","Flagellaria indica","Glochidion philippicum","Homalanthus novoguineensis","Ichnocarpus frutescens","Ipomoea indica","Jasminum didymum","Licuala ramsayi","Macaranga involucrata subsp. mallotoides","Macaranga tanarius","Mallotus mollissimus","Mallotus paniculatus","Merremia peltata","Mucuna gigantea","Neosepicaea jucunda","Normanbya normanbyi","Pachygone longifolia","Passiflora sp. indet.","Rockinghamia angustifolia","Rockinghamia angustifolia","Smilax cf. australis","Stephania japonica","Syzygium cormiflorum","Syzygium erythrocalyx","Syzygium gustavioides","Syzygium sayeri","Toona ciliata","Trichosanthes pentaphylla","Unidentified sp1 M_PA_004","Urena lobata","Wrightia laevis subsp. millgar"
Abundance","#",4,1,1,3,18,4,4,5,1,1,4,1,2,9,3,1,11,27,2,4,79,1,28,9,19,1,6,45,3,4,1,67,1,1,12,3,1,7,1,6,1,1,14,1,1,1,2,1,1,2
"Anonychomyrma gilberti",48,1,0,0,0,1,1,2,0,0,0,0,0,0,1,2,1,0,8,0,0,12,1,3,3,0,0,1,4,0,0,0,10,0,0,0,0,0,2,2,0,0,0,8,1,1,0,0,0,0,0
"Camponotus sp1 M_PA_004",88,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus sp2 M_PA_004",5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus sp3 M_PA_004",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camponotus vitreus",21,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,7,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Crematogaster fusca",40,0,0,0,0,7,0,2,1,0,0,1,0,0,2,0,0,1,4,0,3,17,1,3,1,6,1,0,6,0,2,0,12,0,0,1,0,0,2,2,1,0,0,4,0,0,0,2,0,0,1
"Crematogaster pythia",19,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,1,9,1,0,1,11,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1
"Crematogaster sp1 M_PA_004",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Echinopla australis",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptomyrmex unicolor",8,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monomorium fieldi",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monomorium floricola",38,1,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,4,0,2,0,3,0,0,3,0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"Monomorium intrudens",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odontomachus cephalotes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oecophylla smaragdina",51,2,0,2,2,0,2,1,0,0,1,1,0,2,0,1,0,0,12,0,0,16,0,0,0,0,1,4,3,0,0,0,24,0,0,5,2,1,1,1,5,0,1,1,0,0,1,1,1,0,2
"Paratrechina minutula",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Paratrechina vaga",69,0,1,0,0,3,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,3,0,8,0,2,0,0,7,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pheidole impressiceps",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
