"user_supplied_name","matched_name","family","symmetry"
"Acanthus spinosus","Acanthus spinosus","Acanthaceae","zygomorphic"
"Avicennia germinans","Avicennia germinans","Acanthaceae","actinomorphic"
"Blechum pyramidatum","Blechum pyramidatum","Acanthaceae","actinomorphic"
"Justicia brasiliana","Justicia brasiliana","Acanthaceae","zygomorphic"
"Justicia carnea","Justicia carnea","Acanthaceae","zygomorphic"
"Justicia galapagana","Justicia galapagana","Acanthaceae","zygomorphic"
"Justicia procumbens","Justicia procumbens","Acanthaceae","zygomorphic"
"Justicia sp2 M_PL_063","Justicia","Acanthaceae","zygomorphic"
"Mendoncia sp1 M_PL_066","Mendoncia","Acanthaceae","zygomorphic"
"Mendoncia velloziana","Mendoncia velloziana","Acanthaceae","zygomorphic"
"Odontonema nitidum","Odontonema nitidum","Acanthaceae","zygomorphic"
"Ruellia asperula","Ruellia asperula","Acanthaceae","zygomorphic"
"Ruellia brevifolia","Ruellia brevifolia","Acanthaceae","zygomorphic"
"Ruellia ciliosa","Ruellia ciliosa","Acanthaceae","zygomorphic"
"Ruellia strepens","Ruellia strepens","Acanthaceae","zygomorphic"
"Ruellia subsessilis","Ruellia subsessilis","Acanthaceae","zygomorphic"
"Tetramerium nervosum","Tetramerium nervosum","Acanthaceae","zygomorphic"
"Thunbergia fragrans","Thunbergia fragrans","Acanthaceae","zygomorphic"
"Orchis spectabilis","Orchis spectabilis","Accipitridae","zygomorphic"
"Erythrospermum monticolum","Erythrospermum monticolum","Achariaceae","actinomorphic"
"Actinidia arguta","Actinidia arguta","Actinidiaceae","actinomorphic"
"Actinidia rufa","Actinidia rufa","Actinidiaceae","actinomorphic"
"Sambucus canadensis","Sambucus canadensis","Adoxaceae","actinomorphic"
"Sambucus racemosa","Sambucus racemosa","Adoxaceae","actinomorphic"
"Viburnum dilatatum","Viburnum dilatatum","Adoxaceae","actinomorphic"
"Viburnum erosum","Viburnum erosum","Adoxaceae","actinomorphic"
"Viburnum furcatum","Viburnum furcatum","Adoxaceae","actinomorphic"
"Viburnum opulus","Viburnum opulus","Adoxaceae","actinomorphic"
"Viburnum plicatum","Viburnum plicatum","Adoxaceae","actinomorphic"
"Viburnum prunifolium","Viburnum prunifolium","Adoxaceae","actinomorphic"
"Viburnum suspensum","Viburnum suspensum","Adoxaceae","actinomorphic"
"Carpobrotus sp1 M_PL_058","Carpobrotus","Aizoaceae","actinomorphic"
"Sesuvium portulacastrum","Sesuvium portulacastrum","Aizoaceae","actinomorphic"
"Alisma canaliculatum","Alisma canaliculatum","Alismataceae","actinomorphic"
"Alisma plantago aquatica","Alisma plantago","Alismataceae","actinomorphic"
"Sagittaria latifolia","Sagittaria latifolia","Alismataceae","actinomorphic"
"Sagittaria trifolia","Sagittaria trifolia","Alismataceae","actinomorphic"
"Alstroemeria aurea","Alstroemeria aurea","Alstroemeriaceae","actinomorphic"
"Alstroemeria inodora","Alstroemeria inodora","Alstroemeriaceae","actinomorphic"
"Alstroemeria pallida","Alstroemeria pallida","Alstroemeriaceae","actinomorphic"
"Bomarea edulis","Bomarea edulis","Alstroemeriaceae","actinomorphic"
"Bomarea linifolia","Bomarea linifolia","Alstroemeriaceae","actinomorphic"
"Bomarea sp1 M_PL_068","Bomarea","Alstroemeriaceae","actinomorphic"
"Luzuriaga polyphylla","Luzuriaga polyphylla","Alstroemeriaceae","actinomorphic"
"Luzuriaga radicans","Luzuriaga radicans","Alstroemeriaceae","actinomorphic"
"Achyranthes bidentata","Achyranthes bidentata","Amaranthaceae","actinomorphic"
"Alternanthera ficoidea","Alternanthera ficoidea","Amaranthaceae","actinomorphic"
"Amaranthus spinosus","Amaranthus spinosus","Amaranthaceae","actinomorphic"
"Gomphrena perennis","Gomphrena perennis","Amaranthaceae","actinomorphic"
"Philoxerus vermicularis","Philoxerus vermicularis","Amaranthaceae","actinomorphic"
"Alium grayi","Allium grayi","Amaryllidaceae","actinomorphic"
"Allium ampeloprasum","Allium ampeloprasum","Amaryllidaceae","actinomorphic"
"Allium neapolitanum","Allium neapolitanum","Amaryllidaceae","actinomorphic"
"Allium scorodoprasum","Allium scorodoprasum","Amaryllidaceae","actinomorphic"
"Allium subhirsutum","Allium subhirsutum","Amaryllidaceae","actinomorphic"
"Allium thunbergii","Allium thunbergii","Amaryllidaceae","actinomorphic"
"Habranthus gracilifolius","Habranthus gracilifolius","Amaryllidaceae","actinomorphic"
"Hippeastrum aulicum","Hippeastrum aulicum","Amaryllidaceae","actinomorphic"
"Hippeastrum uni","Hippeastrum","Amaryllidaceae","actinomorphic"
"Leucocoryne ixioides","Leucocoryne ixioides","Amaryllidaceae","actinomorphic"
"Leucocoryne pauciflora","Leucocoryne pauciflora","Amaryllidaceae","actinomorphic"
"Nothoscordum bivalve","Nothoscordum bivalve","Amaryllidaceae","actinomorphic"
"Rhodophiala montana","Rhodophiala montana","Amaryllidaceae","actinomorphic"
"Sternbergia lutea","Sternbergia lutea","Amaryllidaceae","actinomorphic"
"Tristagma bivalve","Tristagma bivalve","Amaryllidaceae","actinomorphic"
"Tristagma sessile","Tristagma sessile","Amaryllidaceae","actinomorphic"
"Rhus copallina","Rhus copallina","Anacardiaceae","actinomorphic"
