,Abutilon terminale,Achyrocline satureoides,Baccharis articulata,Baccharis coridifolia,Blumenbachia insignis,Carduus acanthoides,Commelina erecta,Cuphea fruticosa,Discaria longispina,Echium plantagineum,Eryngium horridum,Eryngium stenophyllum,Eupatorium macrocephalum,Eupatorium subhastatum,Eupatorium tenacetifolium,Gomphrena perennis,Habranthus andersoni,Hypochaeris rosengurtii,Hysterionica pinifolia,Lathyrus crassipes,Lathyrus pubescens,Opuntia aff. elata,Oxalis articulata,Oxalis cordobensis,Oxypetalum solanoides,Passiflora caerulea,Pavonia cymbalaria,Petunia axillaris,Rodophiala bifidum,Senecio bravensis,Senecio grisebachii,Senecio madagascariensis,Silene gallica,Solanum chacoense,Sommerfeltia spinulosa,Spilanthes stolonifera,Stevia satureiifolia,Turnera pinnatifida,Zeta canaliculata,Agraulis vanillae,Agrotis sp1 M_PL_072_03,Allograpta sp1 M_PL_072_03,Unidentified sp1 M_PL_072_03,Apis mellifera,Astylus quadrilineatus,Audre epulus signata,Augochlora semiramis,Augochlorella ephyra,Augochloropsis erato,Augochloropsis sp1 M_PL_072_03,Bombus bellicosus,Unidentified sp2 M_PL_072_03,Unidentified sp3 M_PL_072_03,Brachygastra lechiguana,Unidentified sp4 M_PL_072_03,Camponotus sp1 M_PL_072_03,Campsomeris bistrimacula,Ceratina montana,Chauliognathus scriptus,Chauliognathus sp1 M_PL_072_03,Chilicola sp1 M_PL_072_03,Chrysodina sp1 M_PL_072_03,Cochliomyia macellaria,Colias lesbia,Colletes cyaneus,Corticea immocerina,Unidentified sp5 M_PL_072_03,Dactylozodes specie,Dialictus sp1 M_PL_072_03,Discodon sp1 M_PL_072_03,Discodon sp2 M_PL_072_03,Unidentified sp6 M_PL_072_03,Euptoieta claudia hortensia,Gaesischia sp1 M_PL_072_03,Unidentified sp7 M_PL_072_03,Harmonia axyrides,Isepeolus viperinus,Leioproctus indigoticus,Lema sp1 M_PL_072_03
Abutilon terminale,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Achyrocline satureoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baccharis articulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baccharis coridifolia,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Blumenbachia insignis,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Carduus acanthoides,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commelina erecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuphea fruticosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discaria longispina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Echium plantagineum,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
