,Achyrocline satureoides,Baccharis coridifolia,Cerastium mollissimum,Eryngium stenophyllum,Eupatorium lanigerum,Eupatorium tenacetifolium,Gnaphalium cheirantifolium,Habranthus andersoni,Habranthus gracilifolius,Hypochaeris rosengurtii,Hysterionica pinifolia,Lathyrus pubescens,Oxalis articulata,Rodophiala bifidum,Senecio bravensis,Senecio madagascariensis,Sonchus oleraceus,Xylocopa ciliata,Allograpta sp1 M_PL_072_05,Unidentified sp1 M_PL_072_05,Apis mellifera,Astylus quadrilineatus,Augochlora semiramis,Augochlorella ephyra,Unidentified sp2 M_PL_072_05,Bombus bellicosus,Unidentified sp3 M_PL_072_05,Camponotus sp1 M_PL_072_05,Campsomeris bistrimacula,Unidentified sp4 M_PL_072_05,Unidentified sp5 M_PL_072_05,Chauliognathus scriptus,Chauliognathus sp1 M_PL_072_05,Chilicola sp1 M_PL_072_05,Chlorion sp1 M_PL_072_05,Chrysodina sp1 M_PL_072_05,Unidentified sp6 M_PL_072_05,Cochliomyia macellaria,Colletes sp1 M_PL_072_05,Copestylum sp1 M_PL_072_05,Unidentified sp7 M_PL_072_05,Corticea immocerina,Unidentified sp8 M_PL_072_05,Dactylozodes sp1 M_PL_072_05,Dialictus sp1 M_PL_072_05,Discodon sp1 M_PL_072_05,Unidentified sp9 M_PL_072_05,Eristalinus taeniops,Eristalis tenax,Eudesmia australis,Euptoieta claudia hortensia,Unidentified sp10 M_PL_072_05,Halictillus sp1 M_PL_072_05,Isodontia sp1 M_PL_072_05,Lerodea eufala,Lucilia sericata,Unidentified sp11 M_PL_072_05,Mischocyttarus drewseni,Unidentified sp12 M_PL_072_05,Neochrysis sp1 M_PL_072_05,Palpada sp1 M_PL_072_05,Parachytas sp1 M_PL_072_05,Unidentified sp13 M_PL_072_05,Platycheirus sp1 M_PL_072_05,Polybia scutellaris,Unidentified sp14 M_PL_072_05,Prionyx sp1 M_PL_072_05
Achyrocline satureoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baccharis coridifolia,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Cerastium mollissimum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eryngium stenophyllum,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Eupatorium lanigerum,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0
Eupatorium tenacetifolium,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnaphalium cheirantifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habranthus andersoni,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Habranthus gracilifolius,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hypochaeris rosengurtii,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
