Host,Parasite
Caretta caretta,Anisakis simplex
Caretta caretta,Cucullanus carettae
Caretta caretta,Kathlania leptura
Caretta caretta,Sulcascaris sulcata
Miniopterus schreibersii,Physaloptera brevivaginata
Plecotus austriacus,Physaloptera brevivaginata
Odocoileus virginianus,Mazamastrongylus odocoilei
Odocoileus virginianus,Parelaphostrongylus tenuis
Ovibos moschatus,Capillaria bovis
Ovibos moschatus,Dictyocaulus eckerti
Phalaropus lobatus,Diplotriaena attenuatoverrucosa
Pluvialis squatarola,Eucoleus trilobus
Melanitta fusca,Eustrongylides tubifex
Ovibos moschatus,Marshallagia marshalli
Ovis aries,Marshallagia marshalli
Ovis dalli,Marshallagia marshalli
Ovis dalli,Nematodirus archari
Rangifer tarandus,Ostertagia arctica
Ovis dalli,Ostertagia circumcincta
Rangifer tarandus,Ostertagia gruehneri
Ovibos moschatus,Ostertagia occidentalis
Ovis dalli,Ostertagia occidentalis
Ovibos moschatus,Ostertagia trifurcata
Ovis dalli,Ostertagia trifurcata
Rangifer tarandus,Ostertagia trifurcata
Larus canus,Paracuaria tridentata
Larus hyperboreus,Paracuaria tridentata
Vulpes vulpes,Physaloptera praeputialis
Gulo gulo,Physaloptera torquata
Ovis dalli,Protostrongylus stilesi
Lemmus sibiricus,Rhabditis orbitalis
Calidris alpina,Skrjabinoclava bakeri
Martes americana,Soboliphyme baturini
Phalaropus lobatus,Syngamus anterogonimus
Microtus oeconomus,Syngamus microtinae
Dicrostonyx groenlandicus,Syphacia arctica
Ovibos moschatus,Teladorsagia circumcincta
Ovis dalli,Teladorsagia circumcincta
Rangifer tarandus,Teladorsagia circumcincta
Arenaria melanocephala,Tetrameres dubia
Calidris alpina,Tetrameres dubia
Limnodromus scolopaceus,Tetrameres dubia
Limosa lapponica,Tetrameres dubia
Phalaropus lobatus,Tetrameres dubia
Larus canus,Tetrameres skrjabini
Larus hyperboreus,Tetrameres skrjabini
Xema sabini,Tetrameres skrjabini
Lynx canadensis,Trichinella nativa
Ursus maritimus,Trichinella nativa
Callorhinus ursinus,Uncinaria lucasi
Limosa lapponica,Viktorocara capillaris
Canis latrans,Ancylostoma caninum
Limosa fedoa,Ancyracanthopsis coronata
Limosa fedoa,Ancyracanthopsis winegardi
Numenius americanus,Ancyracanthopsis winegardi
Pluvialis squatarola,Ancyracanthopsis winegardi
Larus californicus,Aprocta turgida
Larus delawarensis,Aprocta turgida
Aechmophorus occidentalis,Capillaria obsignata
Podiceps auritus,Capillaria obsignata
Podiceps grisegena,Capillaria obsignata
Podiceps nigricollis,Capillaria obsignata
Charadrius vociferus,Chevreuxia americana
Pluvialis squatarola,Chevreuxia americana
Recurvirostra americana,Chevreuxia americana
Recurvirostra americana,Chevreuxia revoluta
Aechmophorus occidentalis,Contracaecum ovale
Podiceps auritus,Contracaecum ovale
Podiceps grisegena,Contracaecum ovale
Podiceps nigricollis,Contracaecum ovale
Limosa fedoa,Cosmocephalus obvelatus
Phalaropus tricolor,Cosmocephalus obvelatus
Tringa flavipes,Cosmocephalus obvelatus
Bubo virginianus,Cyrnea americanum
Canis latrans,Dermatoxys veligera
Alces alces,Dictyocaulus viviparus
Cervus elaphus,Dictyocaulus viviparus
Odocoileus hemionus,Dictyocaulus viviparus
Odocoileus virginianus,Dictyocaulus viviparus
Sialia currucoides,Diplotriaena pungens
Anas platyrhynchos,Echinuria uncinata
Calidris alba,Echinuria uncinata
Calidris bairdii,Echinuria uncinata
Calidris pusilla,Echinuria uncinata
Limosa fedoa,Echinuria uncinata
Phalaropus tricolor,Echinuria uncinata
Calidris himantopus,Eulimdana florencae
Sterna hirundo,Eulimdana metcalforum
Limosa fedoa,Eulimdana wongae
Myotis lucifugus,Litomosoides guiterasi
Eptesicus fuscus,Longibucca lasiura
Lasionycteris noctivagans,Longibucca lasiura
Lasiurus cinereus,Longibucca lasiura
Myotis ciliolabrum,Longibucca lasiura
Myotis evotis,Longibucca lasiura
Myotis lucifugus,Longibucca lasiura
Eptesicus fuscus,Longibucca vivipara
Lasionycteris noctivagans,Longibucca vivipara
Myotis ciliolabrum,Longibucca vivipara
Myotis lucifugus,Longibucca vivipara
Bubo virginianus,Microtetrameres bubo
Antilocapra americana,Nematodirella antilocaprae
Ovis canadensis,Nematodirus andersoni
Oreamnos americanus,Nematodirus becklundi
Oreamnos americanus,Nematodirus maculosus
Ovis canadensis,Nematodirus maculosus
Odocoileus hemionus,Orthostrongylus macrotis
Bison bison,Ostertagia bisonis
Fulica americana,Pelecitus fulicaeatrae
Podiceps auritus,Pelecitus fulicaeatrae
Podiceps grisegena,Pelecitus fulicaeatrae
Podiceps nigricollis,Pelecitus fulicaeatrae
Bartramia longicauda,Physocephalus sexalatus
Numenius americanus,Physocephalus sexalatus
Bubo virginianus,Porrocaecum depressum
Lepus americanus,Protostrongylus boughtoni
Ovis canadensis,Protostrongylus rushi
Ovis canadensis,Protostrongylus stilesi
Sturnella neglecta,Quadriplotriaena hypsokysta
Numenius americanus,Schistorophus skrjabini
Limosa fedoa,Sciadiocara bihamata
Pluvialis squatarola,Sciadiocara bihamata
Limosa fedoa,Sciadiocara umbellifera
