"names","type","hosts","symbionts","specialists","generalists","sigma_s","sigma_g","eta_g","eta_bar","modularity","modularity_generalists","nestedness","nestedness_generalists","connectance","connectance_generalists","host_sharing","z","prop_s","ratio_s"
"A_HP_001","Host-Parasite",10,18,5,13,0.5,5.6,4.30769230769231,3.38888888888889,0.232867508734211,0.223692602040816,67.3049943883277,64.7793263646922,0.338888888888889,0.430769230769231,1.58169934640523,NA,0.277777777777778,0.384615384615385
"A_HP_002","Host-Parasite",18,24,8,16,0.444444444444444,4.88888888888889,5.5,4,0.168836805555556,0.211002066115702,38.6331009058282,52.4898820797258,0.222222222222222,0.323529411764706,0.981884057971014,NA,0.333333333333333,0.5
"A_HP_003","Host-Parasite",23,9,1,8,0.0434782608695652,4.65217391304348,13.375,12,0.0183470507544582,0,74.3104347142104,82.9178209745436,0.521739130434783,0.607954545454545,7.30555555555555,NA,0.111111111111111,0.125
"A_HP_004","Host-Parasite",6,21,3,18,0.5,8.16666666666667,2.72222222222222,2.47619047619048,0.227995562130177,0.202623906705539,56.2455026455026,56.7806018112767,0.412698412698413,0.544444444444444,1.52857142857143,NA,0.142857142857143,0.166666666666667
"A_HP_005","Host-Parasite",7,13,0,13,NA,7.28571428571429,3.92307692307692,3.92307692307692,0.0288350634371396,0.0288350634371396,74.8051948051948,74.8051948051948,0.56043956043956,0.56043956043956,3.1025641025641,NA,0,0
"A_HP_006","Host-Parasite",16,37,9,28,0.5625,7.125,4.07142857142857,3.32432432432432,0.234318196840505,0.276546629732225,35.6404579305343,37.8440501934478,0.20777027027027,0.254464285714286,0.953453453453453,NA,0.243243243243243,0.321428571428571
"A_HP_007","Host-Parasite",8,17,5,12,0.625,4.75,3.16666666666667,2.52941176470588,0.267441860465116,0.283587257617729,47.9369918699187,38.0040526849038,0.316176470588235,0.395833333333333,1.06617647058824,NA,0.294117647058824,0.416666666666667
"A_HP_008","Host-Parasite",8,24,13,11,1.625,3,2.18181818181818,1.54166666666667,0.466398831263696,0.285590277777778,29.8656798245614,26.4285714285714,0.192708333333333,0.363636363636364,0.568840579710145,NA,0.541666666666667,1.18181818181818
"A_HP_009","Host-Parasite",14,22,7,15,0.5,6.42857142857143,6,4.40909090909091,0.120257200552662,0.0375925925925926,53.793256433008,77.3471246422066,0.314935064935065,0.461538461538462,1.8008658008658,NA,0.318181818181818,0.466666666666667
"A_HP_010","Host-Parasite",18,31,14,17,0.777777777777778,4.11111111111111,4.35294117647059,2.83870967741935,0.486828512396694,0.43681519357195,27.2006472491909,34.7322458395123,0.157706093189964,0.241830065359477,0.567741935483871,NA,0.451612903225806,0.823529411764706
"A_HP_012","Host-Parasite",7,23,5,18,0.714285714285714,8.28571428571429,3.22222222222222,2.73913043478261,0.167674477198287,0.100624256837099,46.7890913830695,50.5085336119819,0.391304347826087,0.46031746031746,1.45849802371542,NA,0.217391304347826,0.277777777777778
"A_HP_013","Host-Parasite",11,22,4,18,0.363636363636364,9,5.5,4.68181818181818,0.0353002167970591,0.00612182430364249,67.6355084309629,74.2488240925741,0.425619834710744,0.5,2.42424242424243,NA,0.181818181818182,0.222222222222222
"A_HP_014","Host-Parasite",11,19,3,16,0.272727272727273,5.90909090909091,4.0625,3.57894736842105,0.17117214532872,0.108639053254438,57.7423093131058,59.297052154195,0.325358851674641,0.369318181818182,1.52046783625731,NA,0.157894736842105,0.1875
"A_HP_016","Host-Parasite",6,21,3,18,0.5,8.16666666666667,2.72222222222222,2.47619047619048,0.227995562130177,0.202623906705539,56.2455026455026,56.7806018112767,0.412698412698413,0.544444444444444,1.52857142857143,NA,0.142857142857143,0.166666666666667
"A_HP_017","Host-Parasite",5,9,4,5,0.8,3,3,2.11111111111111,0.256232686980609,0.157777777777778,78.2608695652174,80,0.422222222222222,0.6,1.33333333333333,NA,0.444444444444444,0.8
"A_HP_018","Host-Parasite",15,21,3,18,0.2,8.26666666666667,6.88888888888889,6.04761904761905,0.0441440882881766,0,60.3099933576124,70.2446670469926,0.403174603174603,0.459259259259259,2.66190476190476,NA,0.142857142857143,0.166666666666667
"A_HP_019","Host-Parasite",9,18,7,11,0.777777777777778,3.22222222222222,2.63636363636364,2,0.388117283950617,0.258620689655172,44.8853615520282,38.0952380952381,0.222222222222222,0.292929292929293,0.823529411764706,NA,0.388888888888889,0.636363636363636
"A_HP_020","Host-Parasite",16,17,5,12,0.3125,6.25,8.33333333333333,6.1764705882353,0.0188662131519274,0.01055,62.2675978535353,71.70535767027,0.386029411764706,0.555555555555556,2.61764705882353,NA,0.294117647058824,0.416666666666667
"A_HP_021","Host-Parasite",9,15,2,13,0.222222222222222,6.11111111111111,4.23076923076923,3.8,0.101877500769468,0.10297520661157,66.5754812563323,66.5538847117795,0.422222222222222,0.47008547008547,2.26666666666667,NA,0.133333333333333,0.153846153846154
"A_HP_022","Host-Parasite",16,18,5,13,0.3125,3.9375,4.84615384615385,3.77777777777778,0.223507785467128,0.249937011841774,32.991452991453,39.8737373737374,0.236111111111111,0.302884615384615,0.862745098039215,NA,0.277777777777778,0.384615384615385
