"hosts","viruses","prop_false"
248,1246,0.332991803278688
250,1484,0.281736281736282
1233,4606,0.0442406258429997
721,3022,0.130114566284779
731,3364,0.112820512820513
1547,5425,0.00207134637514383
884,3411,0.118656443957649
280,1325,0.295603367633302
1120,3646,0.0851360781577111
1162,4124,0.0586249232658073
1289,4813,0.0339026915113871
717,3249,0.135307346326837
52,349,0.681818181818182
79,364,0.446601941747573
1292,4600,0.0390070921985816
558,2236,0.19104991394148
1370,5033,0.0244504816003952
619,2298,0.203305785123967
604,2307,0.192287091590787
858,3274,0.129385137683893
107,546,0.443010752688172
1165,4283,0.0553765016114856
1350,4817,0.0315980315980317
694,2738,0.163023679417122
318,1486,0.297619047619048
1282,4408,0.0431305341331049
1354,4890,0.0287898089171974
1450,5159,0.0161953106115542
315,1356,0.346441947565543
682,2643,0.177735308170091
46,208,0.552631578947368
1171,4396,0.0671328671328671
1351,4579,0.0389254385964912
275,1501,0.263900414937759
1205,4174,0.0598676293622142
1533,5091,0.014528441270623
969,3697,0.0913102511880516
106,560,0.474725274725275
888,3510,0.103937566512948
94,476,0.434010152284264
1471,5196,0.0150970524802301
608,2457,0.174860618347694
1202,4247,0.0571343990526939
911,3802,0.085610800131709
1410,4879,0.0294268167860798
1105,4005,0.0695706675023504
1557,5377,0.00441142326445321
636,2351,0.180988184747583
1033,4005,0.0757245247740729
737,2965,0.14364406779661
997,4034,0.06375
352,1748,0.262043795620438
1107,4444,0.0504342953208181
855,3113,0.135512156237545
1344,4625,0.0382528486163863
949,3514,0.100791936645068
725,2914,0.139245929734362
1473,5066,0.0220967345936656
1134,4197,0.0548890221955609
707,2562,0.172531769305963
279,1596,0.239624119028974
868,3388,0.106587712805329
607,2283,0.167684619655747
512,1875,0.21768251841929
1229,3987,0.0661392405063291
1544,5085,0.0103986135181976
928,3557,0.0934182590233545
938,3739,0.0979415670650731
271,1235,0.291666666666667
757,3023,0.136513157894737
1267,4589,0.0398471615720524
514,2418,0.182055294731351
765,2958,0.154396297854438
1530,5285,0.00615821885362389
352,1657,0.273730684326711
1183,4507,0.0478296931158418
248,1228,0.314172447968285
362,2027,0.198407838334354
882,3995,0.0700656865811699
497,2256,0.192056583242655
156,761,0.40983606557377
184,922,0.351752021563342
701,2652,0.146564151850072
928,3691,0.0884445950525246
185,1064,0.346727898966705
1176,4392,0.0475644699140401
506,2077,0.218343195266272
595,2171,0.213256484149856
1529,5315,0.00353690167413345
1110,3896,0.0788714331516511
134,461,0.478609625668449
649,2760,0.137585421412301
888,3494,0.108147080028839
1467,5181,0.0177628420547288
1553,5400,0.00484764542936289
1281,4903,0.025974025974026
1003,3787,0.0832507433102081
654,2426,0.175897435897436
902,3536,0.10308182784272
552,2469,0.185987903225806
571,2689,0.149510945505356
178,786,0.40224358974359
467,1938,0.226977950713359
755,2720,0.156106519742883
726,2687,0.150562851782364
579,2448,0.178719008264463
992,3468,0.111756168359942
1273,4742,0.037522959853057
804,3234,0.131457208943716
602,2789,0.154496883348175
679,3049,0.127668308702791
1071,3650,0.0929587235518557
911,3409,0.115285451197053
535,2614,0.168416030534351
858,3543,0.10740354535975
539,2113,0.201298701298701
1233,4519,0.0379676158570631
1178,4386,0.0510407755916737
275,1673,0.280948851000741
288,1529,0.283496732026144
173,1163,0.32340862422998
723,2411,0.181074168797954
41,194,0.666666666666667
1000,3940,0.0827020202020202
1022,3762,0.085113484646195
1087,4145,0.0647590361445783
386,1739,0.247660187185025
1083,4234,0.0586847537599529
971,3438,0.112563543936093
347,2078,0.229460093896714
1245,4324,0.0607194244604317
570,2250,0.191841234840132
146,941,0.333333333333333
857,3475,0.105092091007584
1312,4437,0.038560411311054
188,817,0.43161094224924
690,2445,0.173571054011536
840,3407,0.108455882352941
7,27,0.730769230769231
