"year","hosts","viruses","prop_false"
1960,51,83,0.787878787878788
1961,60,91,0.767123287671233
1962,66,101,0.7125
1963,72,109,0.735632183908046
1964,77,117,0.726315789473684
1965,86,135,0.709090909090909
1966,90,147,0.681034482758621
1967,103,166,0.68939393939394
1968,115,186,0.673469387755102
1969,125,196,0.66
1970,133,208,0.658227848101266
1971,144,220,0.636363636363636
1972,153,233,0.633720930232558
1973,163,239,0.614942528735632
1974,173,248,0.614942528735632
1975,191,261,0.593220338983051
1976,199,276,0.578947368421053
1977,209,285,0.567708333333333
1978,221,293,0.570707070707071
1979,245,300,0.575609756097561
1980,260,317,0.576744186046512
1981,270,324,0.560185185185185
1982,283,339,0.563063063063063
1983,297,349,0.571428571428571
1984,308,363,0.552742616033755
1985,323,380,0.544354838709677
1986,333,390,0.529644268774704
1987,340,395,0.529411764705882
1988,349,405,0.528735632183908
1989,354,412,0.528089887640449
1990,361,420,0.527472527472527
1991,371,428,0.510948905109489
1992,387,438,0.492753623188406
1993,396,454,0.48943661971831
1994,419,471,0.47719298245614
1995,440,486,0.467128027681661
1996,456,506,0.454849498327759
1997,477,528,0.437908496732026
1998,499,544,0.434920634920635
1999,520,563,0.394321766561514
2000,551,596,0.361194029850746
2001,584,619,0.350574712643678
2002,614,646,0.335149863760218
2003,659,691,0.31592039800995
2004,690,736,0.310344827586207
2005,734,794,0.293139293139293
2006,806,886,0.272232304900181
2007,844,998,0.250388802488336
2008,888,1141,0.236241610738255
2009,947,1290,0.202546296296296
2010,1011,1472,0.190711462450593
2011,1075,1733,0.147154471544715
2012,1150,1960,0.123491838183109
2013,1208,2273,0.105074626865672
2014,1251,2539,0.0933052187664734
2015,1308,2827,0.077570093457944
2016,1363,3273,0.0651828298887123
2017,1402,3742,0.0507718696397942
2018,1444,4112,0.0420401854714065
2019,1465,4299,0.0350618738951091
2020,1494,4542,0.0266963292547274
2021,1529,4957,0.014921598381386
2022,1555,5197,0.00866843245846372
2023,1582,5293,0.00213573801613665
2024,1585,5443,0.000229568411386549
